Row number,Accredited entity,Operating name,Provider type,Provider code,Accreditation ID,UKPRN,URN,Accreditation type,Start date,,,
247,Bitterne Park Teacher Training Alliance,Bitterne Park Teacher Training Alliance,School,1F6,,10014998,,Training Partner,01/08/2025,,,
248,Black Country Regional Training Hub University of Worcester,Black Country Regional Training Hub University of Worcester,School,2BC,,10007139,,Training Partner,01/08/2025,,,
249,Black Pear Teaching Alliance,Black Pear Teaching Alliance,School,2HC,,10060754,,Training Partner,01/08/2025,,,
250,Blackpool Sea View Trust ITT,Blackpool Sea View Trust ITT,School,1XH,,10043075,,Training Partner,01/08/2025,,,
251,Blessed Christopher Wharton Catholic Academy Trust,Blessed Christopher Wharton Catholic Academy Trust,School,13K,,10087141,,Training Partner,01/08/2025,,,
252,Blessed Thomas Holford Catholic College,Blessed Thomas Holford Catholic College,School,1YR,,10015044,,Training Partner,01/08/2025,,,
253,Bluecoat Academy,Bluecoat Academy,School,12W,,10052837,,Training Partner,01/08/2025,,,
254,Blue Kite Academy Trust,Blue Kite Academy Trust,School,2HL,,10061050,,Training Partner,01/08/2025,,,
255,Blue Sky,Blue Sky,School,21L,,10007832,,Training Partner,01/08/2025,,,
256,BMAT Education,BMAT Education,School,5B4,,10059426,,Training Partner,01/08/2025,,,
257,Bohunt Education Trust,Bohunt Education Trust,School,1DP,,10033361,,Training Partner,01/08/2025,,,
258,Bordesley Multi Academy Trust,Bordesley Multi Academy Trust,School,5F5,,10059134,,Training Partner,01/08/2025,,,
259,Bosco Sussex,Bosco Sussex,School,1KY,,10063488,,Training Partner,01/08/2025,,,
260,Bosco with the University of Sussex,Bosco with the University of Sussex,School,5B3,,10063488,,Training Partner,01/08/2025,,,
261,Bridge Multi Academy Trust,Bridge Multi Academy Trust,School,J23,,10059260,,Training Partner,01/08/2025,,,
262,Bridging the Tamar Learning Alliance,Bridging the Tamar Learning Alliance,School,165,,10059114,,Training Partner,01/08/2025,,,
263,Brighton Hove and Sussex Schools Alliance,Brighton Hove and Sussex Schools Alliance,School,1KN,,10007212,,Training Partner,01/08/2025,,,
264,"Brighton, Hove and Sussex Schools and Colleges Alliance with the University of Sussex","Brighton, Hove and Sussex Schools and Colleges Alliance with the University of Sussex",School,4B5,,10007212,,Training Partner,01/08/2025,,,
265,Brigshaw Learning Partnership,Brigshaw Learning Partnership,School,4B1,,10057632,,Training Partner,01/08/2025,,,
266,Bristol Excalibur Academies Trust,Bristol Excalibur Academies Trust,School,6H5,,10059937,,Training Partner,01/08/2025,,,
267,Brockhill Park,Brockhill Park,School,19C,,10035076,,Training Partner,01/08/2025,,,
268,Bromley Schools’ Collegiate School Direct,Bromley Schools’ Collegiate School Direct,School,1C9,,10033362,,Training Partner,01/08/2025,,,
269,Bronte Academy Trust,Bronte Academy Trust,School,7H7,,10061184,,Training Partner,01/08/2025,,,
270,Brunswick Park Alliance,Brunswick Park Alliance,School,267,,10071299,,Training Partner,01/08/2025,,,
271,BTSA (Accredited by the University of Derby),BTSA (Accredited by the University of Derby),School,14D,,10007851,,Training Partner,01/08/2025,,,
272,Burnham Teaching Partnership,Burnham Teaching Partnership,School,1MT,,10035483,,Training Partner,01/08/2025,,,
273,Burnt Mill Academy,Burnt Mill Academy,School,2GY,,10035847,,Training Partner,01/08/2025,,,
274,Cabot Learning Federation,Cabot Learning Federation,School,4C1,,Not found,,Training Partner,01/08/2025,,,
275,Calthorpe Park North East Hants and Surrey Borders Consortium,Calthorpe Park North East Hants and Surrey Borders Consortium,School,1UH,,10015239,,Training Partner,01/08/2025,,,
276,Cambridge Meridian Academies Trust & Swavesey Village College,Cambridge Meridian Academies Trust & Swavesey Village College,School,2KU,,10033420,,Training Partner,01/08/2025,,,
277,Campus Tees Schools Alliance,Campus Tees Schools Alliance,School,2JJ,,10057507,,Training Partner,01/08/2025,,,
278,Cardinal Hume Catholic School,Cardinal Hume Catholic School,School,198,,10036181,,Training Partner,01/08/2025,,,
279,Cardinal Newman ITT Hub,Cardinal Newman ITT Hub,School,5E0,,10001165,,Training Partner,01/08/2025,,,
280,Carlisle Schools Alliance,Carlisle Schools Alliance,School,136,,10034763,,Training Partner,01/08/2025,,,
281,Carlton Academy Trust Teacher Training,Carlton Academy Trust Teacher Training,School,3E0,,10083491,,Training Partner,01/08/2025,,,
282,Carmel College,Carmel College,School,1KF,,10055116,,Training Partner,01/08/2025,,,
283,Carmel Teacher Training Partnership (CTTP),Carmel Teacher Training Partnership (CTTP),School,C23,5581,10055116,,Training Partner,01/08/2025,,,
284,Castle Hill School,Castle Hill School,School,4C4,,10054655,,Training Partner,01/08/2025,,,
285,Castleman Learning Network,Castleman Learning Network,School,1RP,,10046893,,Training Partner,01/08/2025,,,
286,Castle Newnham Partnership,Castle Newnham Partnership,School,29R,,10007152,,Training Partner,01/08/2025,,,
287,Castle Phoenix Alliance,Castle Phoenix Alliance,School,179,,10040289,,Training Partner,01/08/2025,,,
288,Castle View Enterprise Teaching Alliance,Castle View Enterprise Teaching Alliance,School,2FS,,10027530,,Training Partner,01/08/2025,,,
289,Cathedral Schools Trust,Cathedral Schools Trust,School,2HN,,10058233,,Training Partner,01/08/2025,,,
290,Catholic Schools’ Partnership,Catholic Schools’ Partnership,School,134,,Not found,,Training Partner,01/08/2025,,,
291,CAT Institute of Education,CAT Institute of Education,School,17B,,10032964,,Training Partner,01/08/2025,,,
292,Central Learning Partnership Trust,Central Learning Partnership Trust,School,1VG,,10035949,,Training Partner,01/08/2025,,,
293,Chauncy Training Partnership,Chauncy Training Partnership,School,1RK,,10034843,,Training Partner,01/08/2025,,,
294,Chepping View Primary Academy,Chepping View Primary Academy,School,138,,10036917,,Training Partner,01/08/2025,,,
295,Cheshire Leadership & Teaching Alliance,Cheshire Leadership & Teaching Alliance,School,144,,10038606,,Training Partner,01/08/2025,,,
296,Chester Diocesan Academies Trust,Chester Diocesan Academies Trust,School,3C5,,10045107,,Training Partner,01/08/2025,,,
297,Chichester High School,Chichester High School,School,2GC,,10043063,,Training Partner,01/08/2025,,,
298,Chorus Education Trust and Sheffield Teacher Training Alliance,Chorus Education Trust and Sheffield Teacher Training Alliance,School,1N5,,10039996,,Training Partner,01/08/2025,,,
299,"Christ Church Primary School, Hampstead","Christ Church Primary School, Hampstead",School,1VM,,10074742,,Training Partner,01/08/2025,,,
300,Chrysalis Multi Academy Trust,Chrysalis Multi Academy Trust,School,5C2,,10058610,,Training Partner,01/08/2025,,,
301,City of Liverpool College,City of Liverpool College,School,L43,,10003955,,Training Partner,01/08/2025,,,
302,City of London Academies Trust (COLAT) SCITT,City of London Academies Trust (COLAT) SCITT,School,4C3,,10058170,,Training Partner,01/08/2025,,,
303,Cleeve School,Cleeve School,School,3B6,,10033702,,Training Partner,01/08/2025,,,
304,CMAT Stamford Welland Academy,CMAT Stamford Welland Academy,School,9J1,,10035739,,Training Partner,01/08/2025,,,
305,CMAT West Town Primary,CMAT West Town Primary,School,1DT,,10045926,,Training Partner,01/08/2025,,,
306,Coastal Academies Trust,Coastal Academies Trust,School,4C5,,10058585,,Training Partner,01/08/2025,,,
307,Colmore Partnership Training School Alliance,Colmore Partnership Training School Alliance,School,19Q,,Not found,,Training Partner,01/08/2025,,,
308,Connect Education Trust,Connect Education Trust,School,189,,10057790,,Training Partner,01/08/2025,,,
309,Consortium Multi Academy Trust,Consortium Multi Academy Trust,School,2J7,,10061190,,Training Partner,01/08/2025,,,
310,Co op Academies Trust,Co op Academies Trust,School,2X4,,10030216,,Training Partner,01/08/2025,,,
311,Cornwall Education Learning Trust (CELT),Cornwall Education Learning Trust (CELT),School,4C8,,10055139,,Training Partner,01/08/2025,,,
312,Court Moor Partnership,Court Moor Partnership,School,2J8,,10015454,,Training Partner,01/08/2025,,,
313,Coventry and Central Warwickshire Teaching School Hub,Coventry and Central Warwickshire Teaching School Hub,School,1GH,,10047140,,Training Partner,01/08/2025,,,
314,Cranford Community College,Cranford Community College,School,265,,10033241,,Training Partner,01/08/2025,,,
315,Creative Education Trust,Creative Education Trust,School,5A1,,10042706,,Training Partner,01/08/2025,,,
316,CREC Early Years Partnership,CREC Early Years Partnership,School,25R,5683,10033424,,Training Partner,01/08/2025,,,
317,CTSN@Essex Primary SCITT,CTSN@Essex Primary SCITT,School,4E6,,10055220,,Training Partner,01/08/2025,,,
318,Culcheth Campus,Culcheth Campus,School,4F5,,10001791,,Training Partner,01/08/2025,,,
319,Cumbria Education Trust,Cumbria Education Trust,School,3Q2,,10049508,,Training Partner,01/08/2025,,,
320,Cumbria Primary Teacher Training,Cumbria Primary Teacher Training,School,C97,5512,10048041,,Training Partner,01/08/2025,,,
321,Dacorum Schools Alliance,Dacorum Schools Alliance,School,1HS,,10007147,,Training Partner,01/08/2025,,,
322,Danes Educational Trust,Danes Educational Trust,School,3D3,,10058906,,Training Partner,01/08/2025,,,
323,Darlington West Park Partnership,Darlington West Park Partnership,School,1DB,,10033825,,Training Partner,01/08/2025,,,
324,David Ross Education Trust,David Ross Education Trust,School,3FE,,10004113,,Training Partner,01/08/2025,,,
325,Debden Park High School,Debden Park High School,School,2AP,,10033412,,Training Partner,01/08/2025,,,
326,De Montfort University,De Montfort University,HEI,D73,,10001883,,Training Partner,01/08/2025,,,
327,Denbigh High School,Denbigh High School,School,1D2,,10032194,,Training Partner,01/08/2025,,,
328,Devonport High School for Boys,Devonport High School for Boys,School,2LB,,10033019,,Training Partner,01/08/2025,,,
329,Deyes High School,Deyes High School,School,1CD,,10035012,,Training Partner,01/08/2025,,,
330,Diocese of Westminster Academy Trust,Diocese of Westminster Academy Trust,School,2W5,,10059577,,Training Partner,01/08/2025,,,
331,Diocese of Worcester Multi Academy Trust,Diocese of Worcester Multi Academy Trust,School,6H6,,10064288,,Training Partner,01/08/2025,,,
332,Diverse Academies Trust,Diverse Academies Trust,School,12K,,10034870,,Training Partner,01/08/2025,,,
333,Dixons Academies Trust,Dixons Academies Trust,School,1EP,,10001992,,Training Partner,01/08/2025,,,
334,Doncaster ITT Partnership,Doncaster ITT Partnership,School,D51,5600,10002008,,Training Partner,01/08/2025,,,
335,drb Ignite Multi Academy Trust,drb Ignite Multi Academy Trust,School,5D3,,10060889,,Training Partner,01/08/2025,,,
336,Dudley Academies Trust SCITT,Dudley Academies Trust SCITT,School,4D1,,10066093,,Training Partner,01/08/2025,,,
337,Dulwich College,Dulwich College,School,3D1,,10015447,,Training Partner,01/08/2025,,,
338,Dunmow Excellence in Education Partnership (DEEP),Dunmow Excellence in Education Partnership (DEEP),School,C56,,10073673,,Training Partner,01/08/2025,,,
339,Durham Johnston Comprehensive School,Durham Johnston Comprehensive School,School,4D3,,10002066,,Training Partner,01/08/2025,,,
340,Durham Schools Together,Durham Schools Together,School,2DP,,10072165,,Training Partner,01/08/2025,,,
341,Durham St Margaret’s,Durham St Margaret’s,School,2FF,,10073790,,Training Partner,01/08/2025,,,
342,Durham University,Durham University,HEI,D86,1543,10007143,,Training Partner,01/08/2025,,,
343,Eastbourne Area School District Alliance,Eastbourne Area School District Alliance,School,1J5,,10015514,,Training Partner,01/08/2025,,,
344,Eastbourne Area School District Alliance with the University of Sussex,Eastbourne Area School District Alliance with the University of Sussex,School,3R2,,10015514,,Training Partner,01/08/2025,,,
345,East Herts Partnership,East Herts Partnership,School,1VT,,10035495,,Training Partner,01/08/2025,,,
346,East of England Teacher Training,East of England Teacher Training,School,2B6,5704,10052840,,Training Partner,01/08/2025,,,
347,East One Partnership,East One Partnership,School,E1P,,10078399,,Training Partner,01/08/2025,,,
348,Eastwood Park Academy Trust,Eastwood Park Academy Trust,School,2G1,,10034832,,Training Partner,01/08/2025,,,
349,Eden Academy Trust,Eden Academy Trust,School,5E1,,10060479,,Training Partner,01/08/2025,,,
350,Eden Learning Trust,Eden Learning Trust,School,2LW,,10067657,,Training Partner,01/08/2025,,,
351,Eleanor Palmer Primary School,Eleanor Palmer Primary School,School,14F,,10078057,,Training Partner,01/08/2025,,,
352,Elston Hall Learning Trust,Elston Hall Learning Trust,School,2JA,,10061031,,Training Partner,01/08/2025,,,
353,Embrace SCITT @ Endeavour Learning Trust,Embrace SCITT @ Endeavour Learning Trust,School,M70,5619,10059445,,Training Partner,01/08/2025,,,
354,Embrace SCITT @ LET Education Trust,Embrace SCITT @ LET Education Trust,School,P38,5621,10060518,,Training Partner,01/08/2025,,,
355,Embrace SCITT @ Rowan Learning Trust,Embrace SCITT @ Rowan Learning Trust,School,3R5,,10059724,,Training Partner,01/08/2025,,,
356,Emmaus CAT ITT,Emmaus CAT ITT,School,4E7,,10086423,,Training Partner,01/08/2025,,,
357,Endeavour Multi Academy Trust,Endeavour Multi Academy Trust,School,60,,10058938,,Training Partner,01/08/2025,,,
358,Enhance Academy Trust SCITT,Enhance Academy Trust SCITT,School,3E6,,10036918,,Training Partner,01/08/2025,,,
359,EQUA Mead Futures,EQUA Mead Futures,School,2Q4,,10058424,,Training Partner,01/08/2025,,,
360,Essex Schools ITT,Essex Schools ITT,School,1OS,,10035578,,Training Partner,01/08/2025,,,
361,ETT@Northern Education Trust (NET),ETT@Northern Education Trust (NET),School,1UR,,10055739,,Training Partner,01/08/2025,,,
362,ETT@Tykes Teaching Alliance,ETT@Tykes Teaching Alliance,School,2C3,,10043460,,Training Partner,01/08/2025,,,
363,Exceed Teaching School Hub,Exceed Teaching School Hub,School,278,,10057431,,Training Partner,01/08/2025,,,
364,Excelsior MAT,Excelsior MAT,School,8F8,,10060213,,Training Partner,01/08/2025,,,
365,Exeter College,Exeter College,HEI,4E4,,10002370,,Training Partner,01/08/2025,,,
366,Exeter Consortium,Exeter Consortium,School,1QX,,10063074,,Training Partner,01/08/2025,,,
367,Exning Primary School,Exning Primary School,School,1JM,,Not found,,Training Partner,01/08/2025,,,
368,Fairfield Infant School,Fairfield Infant School,School,1VQ,,10080422,,Training Partner,01/08/2025,,,
369,Fareham and Gosport Primary SCITT,Fareham and Gosport Primary SCITT,School,25M,5681,10048033,,Training Partner,01/08/2025,,,
370,Fenland Alliance,Fenland Alliance,School,1XY,,10007152,,Training Partner,01/08/2025,,,
371,FIPC (Hazelwood Schools),FIPC (Hazelwood Schools),School,15T,,10046090,,Training Partner,01/08/2025,,,
372,Forest Learning Alliance,Forest Learning Alliance,School,1HW,,Not found,,Training Partner,01/08/2025,,,
373,Forest Way Initial Teacher Training,Forest Way Initial Teacher Training,School,1L8,,10036610,,Training Partner,01/08/2025,,,
374,Forty Hill CofE Primary School,Forty Hill CofE Primary School,School,2L8,,10073980,,Training Partner,01/08/2025,,,
375,Frank Field Education Trust Be More SCITT,Frank Field Education Trust Be More SCITT,School,4F3,,10081880,,Training Partner,01/08/2025,,,
376,Futura Teacher Training,Futura Teacher Training,School,3F5,,10059285,,Training Partner,01/08/2025,,,
377,Futures Teaching,Futures Teaching,School,2KR,,10043454,,Training Partner,01/08/2025,,,
378,Gateshead Schools Direct,Gateshead Schools Direct,School,1EW,,10090323,,Training Partner,01/08/2025,,,
379,Generate Teaching Hub,Generate Teaching Hub,School,15R,,10057459,,Training Partner,01/08/2025,,,
380,Geoffrey Field Junior School,Geoffrey Field Junior School,School,1QL,,10079852,,Training Partner,01/08/2025,,,
381,George Abbot SCITT,George Abbot SCITT,School,G12,5580,10055368,,Training Partner,01/08/2025,,,
382,George Abbot SCITT School Direct,George Abbot SCITT School Direct,School,1OV,,Not found,,Training Partner,01/08/2025,,,
383,Glenthorne High School,Glenthorne High School,School,17J,,10034150,,Training Partner,01/08/2025,,,
384,GLF Teacher Training,GLF Teacher Training,School,2B4,5702,10053217,,Training Partner,01/08/2025,,,
385,Godalming Learning Partnership,Godalming Learning Partnership,School,2JT,,10072769,,Training Partner,01/08/2025,,,
386,Goldington Academy,Goldington Academy,School,2DM,,10033281,,Training Partner,01/08/2025,,,
387,Greater Manchester ITT St Patrick’s Centre of Educational Excellence,Greater Manchester ITT St Patrick’s Centre of Educational Excellence,School,18A,,10018025,,Training Partner,01/08/2025,,,
388,Greenheart Primary Teacher Training,Greenheart Primary Teacher Training,School,4G1,,10060124,,Training Partner,01/08/2025,,,
389,Greenholm Primary School,Greenholm Primary School,School,19R,,10038624,,Training Partner,01/08/2025,,,
390,Green Park Primary School,Green Park Primary School,School,2F6,,10070130,,Training Partner,01/08/2025,,,
391,Greenwich Learning Partnership,Greenwich Learning Partnership,School,185,,10006893,,Training Partner,01/08/2025,,,
392,Greenwood Academies Trust,Greenwood Academies Trust,School,1EX,,10034998,,Training Partner,01/08/2025,,,
393,Grey Court Training School,Grey Court Training School,School,22S,,10039056,,Training Partner,01/08/2025,,,
394,Haberdashers’ Academies Trust South,Haberdashers’ Academies Trust South,School,1KP,,10058159,,Training Partner,01/08/2025,,,
395,Hackney Teaching Schools’ Alliance,Hackney Teaching Schools’ Alliance,School,1V9,,10078024,,Training Partner,01/08/2025,,,
396,Haggerston School,Haggerston School,School,H76,,10092729,,Training Partner,01/08/2025,,,
397,Hagley Catholic High School,Hagley Catholic High School,School,7G8,,10047639,,Training Partner,01/08/2025,,,
398,Hales Valley Teaching Hub,Hales Valley Teaching Hub,School,18E,,10061958,,Training Partner,01/08/2025,,,
399,Halterworth Training School Partnership,Halterworth Training School Partnership,School,1A8,,10086663,,Training Partner,01/08/2025,,,
400,Hastings and Rother Alliance,Hastings and Rother Alliance,School,1L9,,10017797,,Training Partner,01/08/2025,,,
401,Hastings and Rother Alliance with the University of Sussex,Hastings and Rother Alliance with the University of Sussex,School,4H2,,10017797,,Training Partner,01/08/2025,,,
402,Hatton Centre for Education,Hatton Centre for Education,School,1Y7,,10036614,,Training Partner,01/08/2025,,,
403,Havering Train2Teach,Havering Train2Teach,School,178,,10069441,,Training Partner,01/08/2025,,,
404,Haverstock School,Haverstock School,School,4H3,,10002938,,Training Partner,01/08/2025,,,
405,HEART Academies Trust,HEART Academies Trust,School,5H2,,10058270,,Training Partner,01/08/2025,,,
406,Henry Maynard Training E17,Henry Maynard Training E17,School,2AW,5692,10053211,,Training Partner,01/08/2025,,,
407,Hereteach Alliance,Hereteach Alliance,School,22V,,10062355,,Training Partner,01/08/2025,,,
408,High Force Education (SCITT),High Force Education (SCITT),School,H38,5520,10046049,,Training Partner,01/08/2025,,,
409,Hillingdon SCITT,Hillingdon SCITT,School,2B5,5703,10059208,,Training Partner,01/08/2025,,,
410,HISP Teacher Training,HISP Teacher Training,School,1X9,5643,10033571,,Training Partner,01/08/2025,,,
411,Hitchin Boys’ School,Hitchin Boys’ School,School,1QY,,10039989,,Training Partner,01/08/2025,,,
412,Holy Cross Catholic Multi Academy Company,Holy Cross Catholic Multi Academy Company,School,6J6,,10084072,,Training Partner,01/08/2025,,,
413,Holy Spirit MAC,Holy Spirit MAC,School,S89,,10048920,,Training Partner,01/08/2025,,,
414,Holy Trinity CofE Primary School,Holy Trinity CofE Primary School,School,292,,10073971,,Training Partner,01/08/2025,,,
415,Horizon Academy Trust Teacher Training,Horizon Academy Trust Teacher Training,School,1OL,,10044816,,Training Partner,01/08/2025,,,
416,Hudson Primary School,Hudson Primary School,School,2F5,,10069137,,Training Partner,01/08/2025,,,
417,Hull SCITT,Hull SCITT,School,25O,5684,10055359,,Training Partner,01/08/2025,,,
418,Hungerhill BFLPT,Hungerhill BFLPT,School,298,,10036542,,Training Partner,01/08/2025,,,
419,Hursthead Junior School Alliance,Hursthead Junior School Alliance,School,27X,,10046173,,Training Partner,01/08/2025,,,
420,Ignite Institute,Ignite Institute,School,22A,,10046195,,Training Partner,01/08/2025,,,
421,Inclusive Schools Trust,Inclusive Schools Trust,School,2JE,,10064197,,Training Partner,01/08/2025,,,
422,Infinity Academies Trust,Infinity Academies Trust,School,C21,,10060289,,Training Partner,01/08/2025,,,
423,Initio Learning Trust,Initio Learning Trust,School,1I2,,10060921,,Training Partner,01/08/2025,,,
424,Innovation Training and Recruitment,Innovation Training and Recruitment,School,F56,,10094417,,Training Partner,01/08/2025,,,
425,Insignis Academy Trust SCITT,Insignis Academy Trust SCITT,School,3I5,,10034108,,Training Partner,01/08/2025,,,
426,Inspire Education Trust,Inspire Education Trust,School,3I2,,10061026,,Training Partner,01/08/2025,,,
427,Inspiring Leaders Primary (Derbyshire),Inspiring Leaders Primary (Derbyshire),School,5W1,,10088528,,Training Partner,01/08/2025,,,
428,Inspiring Leaders Primary (Leicester and Rutland),Inspiring Leaders Primary (Leicester and Rutland),School,1BJ,,10055365,,Training Partner,01/08/2025,,,
429,Inspiring Leaders Primary (Nottingham and Mansfield),Inspiring Leaders Primary (Nottingham and Mansfield),School,24H,,10088528,,Training Partner,01/08/2025,,,
430,"Inspiring Leaders Secondary (Leicestershire, Rutland and Northampton)","Inspiring Leaders Secondary (Leicestershire, Rutland and Northampton)",School,4R4,,10088528,,Training Partner,01/08/2025,,,
431,Inspiring Leaders Secondary (Nottingham and Derbyshire),Inspiring Leaders Secondary (Nottingham and Derbyshire),School,2A5,,10088528,,Training Partner,01/08/2025,,,
432,Invictus Education Trust,Invictus Education Trust,School,2I2,,10047463,,Training Partner,01/08/2025,,,
433,Ironstone Academy Trust SCITT,Ironstone Academy Trust SCITT,School,3I4,,10060801,,Training Partner,01/08/2025,,,
434,Jewish Schools Direct Primary Consortium (LSJS),Jewish Schools Direct Primary Consortium (LSJS),School,1CP,,10082385,,Training Partner,01/08/2025,,,
435,John Taylor High School,John Taylor High School,School,1L6,,10032188,,Training Partner,01/08/2025,,,
436,Josie Thirkell Institute of Education,Josie Thirkell Institute of Education,School,1GW,,10048068,,Training Partner,01/08/2025,,,
437,Kent Catholic Schools’ Partnership Initial Teacher Training,Kent Catholic Schools’ Partnership Initial Teacher Training,School,4K1,,10060024,,Training Partner,01/08/2025,,,
438,Kent Oaks Consortium,Kent Oaks Consortium,School,2CC,,10030458,,Training Partner,01/08/2025,,,
439,Kent Oaks Consortium with the University of Sussex,Kent Oaks Consortium with the University of Sussex,School,2O2,,10030458,,Training Partner,01/08/2025,,,
440,Kirklees and Calderdale SCITT,Kirklees and Calderdale SCITT,School,1WK,5612,10003692,,Training Partner,01/08/2025,,,
441,Laidlaw Teacher Training Partnership,Laidlaw Teacher Training Partnership,School,4B4,,Not found,,Training Partner,01/08/2025,,,
442,Lampton LWA SCITT,Lampton LWA SCITT,School,2AY,5696,10031352,,Training Partner,01/08/2025,,,
443,Landau Forte Teacher Training,Landau Forte Teacher Training,School,186,5650,10018562,,Training Partner,01/08/2025,,,
444,LDST North West Teacher Training,LDST North West Teacher Training,School,4L2,,10060879,,Training Partner,01/08/2025,,,
445,Learners First Schools Partnership,Learners First Schools Partnership,School,1GX,,10045188,,Training Partner,01/08/2025,,,
446,Learning In Harmony Teacher Training,Learning In Harmony Teacher Training,School,2H5,,10046984,,Training Partner,01/08/2025,,,
447,LEARN with FA1,LEARN with FA1,School,3L1,,10060074,,Training Partner,01/08/2025,,,
448,Leeds SCITT,Leeds SCITT,School,L26,5568,10003863,,Training Partner,01/08/2025,,,
449,Leicester & Leicestershire SCITT,Leicester & Leicestershire SCITT,School,L35,5569,10046132,,Training Partner,01/08/2025,,,
450,Leicestershire and Rutland Initial Teacher Training,Leicestershire and Rutland Initial Teacher Training,School,5L3,,10024318,,Training Partner,01/08/2025,,,
451,Lift Schools: East,Lift Schools: East,School,2CG,,10033736,,Training Partner,01/08/2025,,,
452,Lift Schools: London and South,Lift Schools: London and South,School,2CH,,10033736,,Training Partner,01/08/2025,,,
453,Lift Schools: Midlands,Lift Schools: Midlands,School,2CJ,,10033736,,Training Partner,01/08/2025,,,
454,Lift Schools: North,Lift Schools: North,School,2CK,,10033736,,Training Partner,01/08/2025,,,
455,Lift Schools: South West,Lift Schools: South West,School,2E1,,10033736,,Training Partner,01/08/2025,,,
456,Lighthouse Learning Partnership,Lighthouse Learning Partnership,School,16Z,,10058855,,Training Partner,01/08/2025,,,
457,Lime Trust,Lime Trust,School,3L2,,10060895,,Training Partner,01/08/2025,,,
458,Lincolnshire Gateway Academies Trust,Lincolnshire Gateway Academies Trust,School,3L7,,10059809,,Training Partner,01/08/2025,,,
459,Lincroft Academy,Lincroft Academy,School,235,,10065849,,Training Partner,01/08/2025,,,
460,Lingfield SCITT,Lingfield SCITT,School,6L2,,10059742,,Training Partner,01/08/2025,,,
461,"Linwood Training, Support and Advice","Linwood Training, Support and Advice",School,1X3,,10017916,,Training Partner,01/08/2025,,,
462,Lionheart Teach,Lionheart Teach,School,1O8,,10055191,,Training Partner,01/08/2025,,,
463,Little Lever Train to Teach,Little Lever Train to Teach,School,8J8,,10024318,,Training Partner,01/08/2025,,,
464,Littleton CofE Infant School,Littleton CofE Infant School,School,2HR,,10079622,,Training Partner,01/08/2025,,,
465,Liverpool Teacher Development Partnership,Liverpool Teacher Development Partnership,School,2T3,,10006188,,Training Partner,01/08/2025,,,
466,London District East Teaching School Hub,London District East Teaching School Hub,School,5U5,,10064183,,Training Partner,01/08/2025,,,
467,London South Bank University,London South Bank University,HEI,L75,1528,10004078,,Training Partner,01/08/2025,,,
468,London South Teaching School Hub,London South Teaching School Hub,School,8L5,,10056990,,Training Partner,01/08/2025,,,
469,London West Alliance ITT,London West Alliance ITT,School,1P8,,10031352,,Training Partner,01/08/2025,,,
470,Loreto Grammar School Lead Partner,Loreto Grammar School Lead Partner,School,1H2,,10038100,,Training Partner,01/08/2025,,,
471,Lumen Christi Catholic Multi Academy Company,Lumen Christi Catholic Multi Academy Company,School,6Y6,,10060961,,Training Partner,01/08/2025,,,
472,Magnificat Partnership,Magnificat Partnership,School,2L1,,Not found,,Training Partner,01/08/2025,,,
473,Maiden Erlegh Institute,Maiden Erlegh Institute,School,1Y1,,10033353,,Training Partner,01/08/2025,,,
474,Manchester Prospere Teacher Training,Manchester Prospere Teacher Training,School,3D2,,10046414,,Training Partner,01/08/2025,,,
475,Manor Primary School,Manor Primary School,School,1QO,,10053803,,Training Partner,01/08/2025,,,
476,Maplefields Academy (Mainstream and Special Needs),Maplefields Academy (Mainstream and Special Needs),School,21F,,10065849,,Training Partner,01/08/2025,,,
477,Marlbrook Collaboration of Schools,Marlbrook Collaboration of Schools,School,1Y2,,Not found,,Training Partner,01/08/2025,,,
478,Melrose Learning Trust,Melrose Learning Trust,School,4M2,,10034923,,Training Partner,01/08/2025,,,
479,Merseyside Special Schools Alliance,Merseyside Special Schools Alliance,School,27B,,10077028,,Training Partner,01/08/2025,,,
480,Middlefield Primary Academy,Middlefield Primary Academy,School,1C2,,10038094,,Training Partner,01/08/2025,,,
481,Milton Hall Primary School,Milton Hall Primary School,School,2M1,,10069673,,Training Partner,01/08/2025,,,
482,Morley Exceed Partnership,Morley Exceed Partnership,School,2ER,,10054666,,Training Partner,01/08/2025,,,
483,Mornington Primary School,Mornington Primary School,School,2K4,,10066979,,Training Partner,01/08/2025,,,
484,Mortimer Primary School,Mortimer Primary School,School,9A8,,10072196,,Training Partner,01/08/2025,,,
485,Mosaic Schools Learning Trust,Mosaic Schools Learning Trust,School,8A1,,10059391,,Training Partner,01/08/2025,,,
486,Mowbray Education Trust,Mowbray Education Trust,School,8H9,,10059338,,Training Partner,01/08/2025,,,
487,Mulberry Schools Trust,Mulberry Schools Trust,School,1CW,,10061562,,Training Partner,01/08/2025,,,
488,NEAT ITT,NEAT ITT,School,1L1,,10064236,,Training Partner,01/08/2025,,,
489,Nene Park Academy,Nene Park Academy,School,6N8,,10034976,,Training Partner,01/08/2025,,,
490,Newbury ITE Partnership,Newbury ITE Partnership,School,1RM,,10038188,,Training Partner,01/08/2025,,,
491,Newham Community SCITT,Newham Community SCITT,School,4M4,,10068263,,Training Partner,01/08/2025,,,
492,Newman Teaching Academy,Newman Teaching Academy,School,3N4,,10060469,,Training Partner,01/08/2025,,,
493,Newport Junior School,Newport Junior School,School,175,,10064119,,Training Partner,01/08/2025,,,
