provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
match:market_reg:accreditation,Nottingham Trent University,Nottingham Trent University,10004797,,N91,accredited,1524,2024-08-01T00:00:00Z,,hei,"48, Shakespeare Street",,,Nottingham,,NG1 4FQ,52.9580712,-1.1540226,missing address__town_or_city,"2026,2025,2024,2023,2022,2021,2020,2019",2026,200001392481,52.9580712,-1.1540226,updated,true,provider__legal_name,organisation_name,NOTTINGHAM TRENT UNIVERSITY,
match:market_reg:accreditation,Nottinghamshire TORCH SCITT,Nova Education Trust,10055362,,254,accredited,5662,2024-08-01T00:00:00Z,,scitt,The Banks,Bingham,"",Nottingham,"",NG13 8BL,52.949833,-0.955768,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,52.9520961,-1.18617,original,true,,,NOVA EDUCATION TRUST,Nova Education Trust (Academy Trust)
match:market_reg:accreditation,OTT SCITT,River Learning Trust,10059630,,24T,accredited,5669,2023-08-01T00:00:00Z,,scitt,Marston Ferry Road,"",,Oxford,,OX2 7EE,51.775616,-1.258212,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100121296851,51.7757449,-1.2586363,original,true,,,RIVER LEARNING TRUST,RIVER LEARNING TRUST (Academy Trust)
match:market_reg:accreditation,One Cumbria Teaching School Hub,Changing Lives Learning Trust,10058240,135632,1A3,accredited,5732,2024-08-01T00:00:00Z,,scitt,Ullswater Road,,,Penrith,,CA11 7EG,54.6594658,-2.7581964,,"2026,2025,2024,2023,2021,2020,2019",2026,100110729240,54.6594658,-2.7581964,updated,true,,,CHANGING LIVES LEARNING TRUST,CHANGING LIVES LEARNING TRUST (Academy Trust)
match:market_reg:accreditation,Oxford Brookes University,Oxford Brookes University,10004930,133864,O66,accredited,1526,2024-08-01T00:00:00Z,,hei,Gipsy Lane,Headington,,Oxford,,OX3 0BP,51.755011,-1.224225,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100121297433,51.755011,-1.224225,updated,true,,,OXFORD BROOKES UNIVERSITY,
match:market_reg:accreditation,Oxford University,University of Oxford,10007774,,O33,accredited,1556,2024-08-01T00:00:00Z,,hei,"15, Norham Gardens",,,Oxford,,OX2 6PY,51.7636662,-1.2555731,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10092071739,51.7636662,-1.2555731,updated,true,,,UNIVERSITY OF OXFORD,Oxford University
match:market_reg:accreditation,Partnership London SCITT (PLS),Partnership Learning,10053276,,2B1,accredited,5699,2024-08-01T00:00:00Z,,scitt,Parsloes Avenue,,,Dagenham,,RM9 5QT,51.5486077,0.1340839,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100090979,51.5486077,0.1340839,updated,true,,,PARTNERSHIP LEARNING,Partnership Learning
match:market_reg:accreditation,Pioneers Partnership SCITT,Great Academies Education Trust,10058215,,1Z8,accredited,5678,2024-08-01T00:00:00Z,,scitt,Pioneers Partnership SCITT,"c/o GAA, Broadoak Road",,Ashton-Under-Lyne,Greater Manchester,OL6 8RF,53.5049514,-2.0834187,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,53.5049514,-2.0834187,original,,,,GREAT ACADEMIES EDUCATION TRUST,Great Academies Education Trust (Academy Trust)
match:market_reg:accreditation,Plymouth Marjon University,University of St Mark and St John,10037449,,P63,accredited,1508,2024-08-01T00:00:00Z,,hei,Derriford Road,Derriford,,Plymouth,,PL6 8BH,50.4197618,-4.1104325,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100041063944,50.4197618,-4.1104325,updated,true,,,UNIVERSITY OF ST MARK & ST JOHN,Plymouth Marjon University
match:market_reg:accreditation,Poole SCITT,TEACH Poole,10057353,,P75,accredited,5505,2024-08-01T00:00:00Z,,scitt,Sherborn Crescent,,,Poole,,BH17 8AP,50.7497638,-1.9652852,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100041095582,50.7497638,-1.9652852,updated,true,address__address_line_1,organisation_name,TEACH POOLE,TEACH Poole (Academy Trust)
match:market_reg:accreditation,Portsmouth SCITT,University of Chichester Academy Trust,10042780,,P82,accredited,5532,2024-08-01T00:00:00Z,,scitt,Tipner Road,,,Portsmouth,,PO2 8QH,50.8223528,-1.0874509,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,1775079431,50.8223528,-1.0874509,updated,true,,,UNIVERSITY OF CHICHESTER (MULTI) ACADEMY TRUST,Portsmouth SCITT
