provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
unaacredited,Stradbroke Church of England Primary School IP21 5HH,,,,2KC,unaccredited,,,,school,Stradbroke CE Primary School,Queen Street,,Stradbroke,Suffolk,IP21 5HH,52.3214503,1.2709871,,"2021,2020,2019",2021,,52.3214503,1.2709871,original,,,,,
unaacredited,Stradbroke Primary School,,,,27F,unaccredited,,,,school,Queen Street,Stradbroke,,Eye,,IP21 5HH,52.3214503,1.2709871,,"2020,2019",2020,100091494812,52.3214503,1.2709871,updated,true,address__address_line_1,address_line_1,,
unaacredited,Stranton Primary School,,10042268,139884,1G5,unaccredited,,,,school,Southburn Terrace,,,Hartlepool,,TS25 1SQ,54.6780947,-1.213255,missing address__town_or_city,"2021,2020,2019",2021,100110785709,54.6780947,-1.213255,updated,true,provider__operating_name,organisation_name,STRANTON PRIMARY SCHOOL,
unaacredited,Stretford High School,,10017594,106370,1NW,unaccredited,,,,school,Great Stone Road,Stretford,,Manchester,,M32 0XA,53.4568688,-2.293754,,"2021,2020,2019",2021,100012699479,53.4568688,-2.293754,updated,true,,,STRETFORD HIGH SCHOOL,
unaacredited,Suffolk and Norfolk Primary SCITT,,10006399,,S13,unaccredited,,,,scitt,University of Suffolk,"Thomas Slade Court, 120 Star Lane",,Ipswich,Suffolk,IP4 1JN,52.0522615,1.163448,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,52.0522615,1.163448,original,,,,SUFFOLK COUNTY COUNCIL,Suffolk and Norfolk SCITT
unaacredited,Surrey County Council,,,,15H,unaccredited,,,,school,County Hall,Penrhyn Road,,Kingston Upon Thames,,KT1 2DW,51.404907,-0.3051987,,"2021,2020,2019",2021,,51.404907,-0.3051987,original,,,,,
unaacredited,Sussex Teacher Training Partnership,,10002131,,E37,unaccredited,,,,scitt,Whatlington Way,,,St. Leonards On Sea,,TN38 9TE,50.8694548,0.5283,,"2021,2020,2019",2021,200003865953,50.8694548,0.5283,updated,true,address__address_line_1,organisation_name,EAST SUSSEX COUNTY COUNCIL,
unaacredited,Sussex Teacher Training Partnership SCITT RSW,,,,1CA,unaccredited,,,,school,Whatlington Way,,,St. Leonards On Sea,,TN38 9TE,50.8694548,0.5283,,"2021,2020,2019",2021,200003865953,50.8694548,0.5283,updated,true,address__address_line_1,organisation_name,,
unaacredited,Sutton Park SCITT,,10035849,,25D,unaccredited,,,,scitt,Queslett Road East,,,Sutton Coldfield,,B74 2EX,52.563582,-1.8776926,,"2024,2023,2022,2021,2020,2019",2024,200003316934,52.563582,-1.8776926,updated,true,address__address_line_1,address_line_1,THE STREETLY ACADEMY,
unaacredited,Swale Academies Trust - East Sussex ITE,,,,4T8,unaccredited,,,,school,Chailey Close,,,Eastbourne,,BN23 7EA,50.7983645,0.3147142,,"2021,2020",2021,100062255268,50.7983645,0.3147142,updated,true,,,,
unaacredited,Swansfield Park First School,,,,187,unaccredited,,,,school,Swansfield Park First Schol,The Avenue,,,Alnwick,NE66 1UL,55.4092965,-1.7044285,missing address__town_or_city,"2021,2020,2019",2021,,55.4092965,-1.7044285,original,,,,,
unaacredited,Swanwick Hall School,,10056067,142741,1VZ,unaccredited,,,,school,Swanwick Hall School,Derby Road,,Swanwick,Alfreton,DE55 1AE,53.073272,-1.396919,,"2021,2020,2019",2021,,53.073272,-1.396919,original,address_line_1 has issues,,,SWANWICK HALL SCHOOL,
